Date,GOOGL,FB,NFLX,AMZN
2015-04-01,549.48999,81.669998,59.017143,370.26001
2015-04-02,541.309998,81.559998,59.154285,372.25
2015-04-06,543.950012,82.440002,60.330002,377.040009
2015-04-07,544.859985,82.32,60.494286,374.410004
2015-04-08,548.840027,82.279999,63.049999,381.200012
2015-04-09,548.02002,82.169998,62.785713,383.540009
2015-04-10,548.539978,82.040001,64.938568,382.649994
2015-04-13,548.640015,83.010002,67.811432,382.359985
2015-04-14,539.780029,83.519997,68.387146,385.109985
2015-04-15,541.039978,82.709999,67.922859,383.450012
2015-04-16,543.52002,82.309998,80.292854,386.040009
2015-04-17,532.73999,80.779999,81.650002,375.559998
2015-04-20,544.530029,83.089996,81.055717,389.51001
2015-04-21,542.919983,83.620003,80.062859,391.179993
2015-04-22,549.179993,84.629997,79.668571,389.799988
2015-04-23,557.460022,82.410004,79.865715,389.98999
2015-04-24,573.659973,81.529999,79.771431,445.100006
2015-04-27,566.119995,81.910004,80.868568,438.559998
2015-04-28,564.369995,80.68,80.437141,429.309998
2015-04-29,561.390015,80.470001,80.407143,429.369995
2015-04-30,548.77002,78.769997,79.5,421.779999
2015-05-01,551.159973,78.989998,79.575714,422.869995
2015-05-04,552.840027,78.809998,79.271431,423.040009
2015-05-05,543.039978,77.559998,80.792854,421.190002
2015-05-06,535.080017,78.099998,80.077141,419.100006
2015-05-07,542.039978,78.43,80.748573,426.880005
2015-05-08,548.950012,78.510002,82.085716,433.690002
2015-05-11,545.780029,78.010002,84.278572,432.850006
2015-05-12,538.72998,77.459999,83.377144,431.019989
2015-05-13,539.48999,78.440002,82.872856,426.869995
2015-05-14,549.200012,81.370003,83.835716,432.279999
2015-05-15,546.48999,80.419998,87.60714,426
2015-05-18,546.669983,80.879997,88.267143,425.23999
2015-05-19,549.280029,80.629997,88.068573,421.709991
2015-05-20,552.51001,80.550003,88.790001,423.859985
2015-05-21,556.809998,80.480003,89.002853,431.630005
2015-05-22,554.52002,80.540001,88.83857,427.630005
2015-05-26,547.190002,79.330002,87.992859,425.470001
2015-05-27,554.25,80.550003,89.85714,431.420013
2015-05-28,554.179993,80.150002,89.507141,426.570007
2015-05-29,545.320007,79.190002,89.151428,429.230011
2015-06-01,549.210022,80.290001,89.002853,430.920013
2015-06-02,553.950012,80.440002,89.129997,430.98999
2015-06-03,555.289978,82.440002,88.808571,436.589996
2015-06-04,551.690002,82.050003,89.348572,430.779999
2015-06-05,549.530029,82.139999,90.459999,426.950012
2015-06-08,543.47998,80.669998,89.604286,423.5
2015-06-09,542.159973,80.669998,92.449997,425.480011
2015-06-10,552.599976,82.160004,95.871429,430.769989
2015-06-11,550.039978,81.830002,95.094284,432.970001
2015-06-12,547.469971,81.529999,94.418571,429.920013
2015-06-15,543,80.709999,93.431427,423.670013
2015-06-16,544.869995,81.059998,95.272858,427.26001
2015-06-17,546.599976,81.790001,94.271431,427.809998
2015-06-18,556.179993,82.910004,94.742859,439.390015
2015-06-19,557.52002,82.510002,93.871429,434.920013
2015-06-22,559.679993,84.739998,96.414284,436.290009
2015-06-23,563.390015,87.879997,97.312859,445.98999
2015-06-24,558.570007,88.860001,96.944283,440.839996
2015-06-25,557.950012,87.980003,94.891426,440.100006
2015-06-26,553.059998,88.010002,93.08857,438.100006
2015-06-29,541.25,85.800003,92.23143,429.859985
2015-06-30,540.039978,85.769997,93.848572,434.089996
2015-07-01,543.299988,86.910004,93.635712,437.390015
2015-07-02,547.340027,87.290001,94.044289,437.709991
2015-07-06,545.619995,87.550003,94.571426,436.040009
2015-07-07,550.030029,87.220001,94.091431,436.720001
2015-07-08,541.700012,85.650002,93.507141,429.700012
2015-07-09,544.650024,85.879997,95.727142,434.390015
2015-07-10,556.109985,87.949997,97.228569,443.51001
2015-07-13,571.72998,90.099998,101.087143,455.570007
2015-07-14,584.179993,89.68,100.371429,465.570007
2015-07-15,583.960022,89.760002,98.129997,461.190002
2015-07-16,601.780029,90.849998,115.809998,475.480011
2015-07-17,699.619995,94.970001,114.769997,483.01001
2015-07-20,692.840027,97.910004,110.550003,488.100006
2015-07-21,695.349976,98.389999,112.510002,488
2015-07-22,695.099976,97.040001,111.5,488.269989
2015-07-23,674.72998,95.440002,110.099998,482.179993
2015-07-24,654.77002,96.949997,109.339996,529.419983
2015-07-27,658.27002,94.169998,106.43,531.409973
2015-07-28,659.659973,95.290001,106.900002,526.030029
2015-07-29,661.429993,96.989998,107.080002,529
2015-07-30,664.559998,95.209999,111.559998,536.76001
2015-07-31,657.5,94.010002,114.309998,536.150024
2015-08-03,664.719971,94.139999,112.559998,535.030029
2015-08-04,661.280029,94.059998,121.150002,531.900024
2015-08-05,673.289978,96.440002,123.709999,537.01001
2015-08-06,670.150024,95.120003,126.449997,529.460022
2015-08-07,664.390015,94.300003,123.519997,522.619995
2015-08-10,663.140015,94.150002,123.029999,524
2015-08-11,690.299988,93.620003,122.739998,527.460022
2015-08-12,691.469971,94.190002,120.510002,525.909973
2015-08-13,686.51001,93.43,123.730003,529.659973
2015-08-14,689.369995,94.419998,123.389999,531.52002
2015-08-17,694.109985,93.93,125.360001,535.219971
2015-08-18,688.72998,95.169998,124.050003,535.02002
2015-08-19,694.039978,95.309998,122.059998,532.919983
2015-08-20,679.47998,90.559998,112.489998,515.780029
2015-08-21,644.030029,86.059998,103.959999,494.470001
2015-08-24,618.109985,82.089996,96.879997,463.369995
2015-08-25,612.469971,83,101.519997,466.369995
2015-08-26,659.73999,87.190002,110.129997,500.769989
2015-08-27,667.960022,89.730003,117.660004,518.369995
2015-08-28,659.690002,91.010002,117.629997,518.01001
2015-08-31,647.820007,89.43,115.029999,512.890015
2015-09-01,629.559998,87.230003,105.790001,496.540009
2015-09-02,644.909973,89.889999,105.440002,510.549988
2015-09-03,637.049988,88.150002,101.059998,504.720001
2015-09-04,628.960022,88.260002,98.790001,499
2015-09-08,643.880005,89.529999,94.949997,517.539978
2015-09-09,643.409973,90.440002,99.18,516.890015
2015-09-10,651.080017,91.980003,99.480003,522.23999
2015-09-11,655.299988,92.050003,97.510002,529.440002
2015-09-14,652.469971,92.309998,95.690002,521.380005
2015-09-15,665.070007,92.900002,99.160004,522.369995
2015-09-16,665.52002,93.449997,104.080002,527.390015
2015-09-17,671.669983,94.339996,104.209999,538.869995
2015-09-18,660.919983,94.400002,102.620003,540.26001
2015-09-21,666.97998,95.550003,100.300003,548.390015
2015-09-22,653.200012,92.959999,98.470001,538.400024
2015-09-23,653.289978,93.970001,98.07,536.070007
2015-09-24,654.909973,94.410004,103.760002,533.75
2015-09-25,640.150024,92.769997,102.239998,524.25
2015-09-28,624.25,89.209999,99.470001,504.059998
2015-09-29,622.609985,86.669998,98.349998,496.070007
2015-09-30,638.369995,89.900002,103.260002,511.890015
2015-10-01,642,90.949997,105.980003,520.719971
2015-10-02,656.98999,92.07,106.110001,532.539978
2015-10-05,671.679993,94.010002,111.25,543.679993
2015-10-06,671.640015,92.800003,108.330002,537.47998
2015-10-07,670,92.400002,108.099998,541.940002
2015-10-08,667,92.470001,114.93,533.159973
2015-10-09,671.23999,93.239998,113.330002,539.799988
2015-10-12,676.429993,94.260002,113.449997,550.190002
2015-10-13,683.169983,94.120003,109.730003,548.900024
2015-10-14,680.409973,94.07,110.230003,544.830017
2015-10-15,693.02002,95.959999,101.089996,562.440002
2015-10-16,695.320007,97.540001,98.989998,570.76001
2015-10-19,699.950012,98.470001,101.690002,573.150024
2015-10-20,680,97,98.989998,560.880005
2015-10-21,671.799988,97.110001,97.959999,555.77002
2015-10-22,681.140015,99.669998,97.32,563.909973
2015-10-23,719.330017,102.190002,100.040001,599.030029
2015-10-26,731.119995,103.769997,103.040001,608.609985
2015-10-27,732.820007,103.699997,103.07,611.01001
2015-10-28,736.919983,104.199997,105.800003,617.099976
2015-10-29,744.849976,104.879997,105.120003,626.549988
2015-10-30,737.390015,101.970001,108.379997,625.900024
2015-11-02,747.73999,103.309998,107.639999,628.349976
2015-11-03,748.820007,102.580002,109.739998,625.309998
2015-11-04,755.309998,103.940002,114.050003,640.950012
2015-11-05,760.669983,108.760002,113.5,655.650024
2015-11-06,761.599976,107.099998,114.059998,659.369995
2015-11-09,754.77002,106.489998,109.860001,655.48999
