Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-04-01,549.48999,81.669998,59.017143,370.26001,73.779182,139.5914,81.300003,31.535204,68.52388,87.257195
2015-04-02,541.309998,81.559998,59.154285,372.25,74.233482,140.882874,81.120003,32.055969,67.968102,87.807785
2015-04-06,543.950012,82.440002,60.330002,377.040009,74.900414,141.691223,80.980003,32.287418,69.050911,88.532707
2015-04-07,544.859985,82.32,60.494286,374.410004,74.136803,141.022232,80.580002,32.104183,67.824371,88.284943
2015-04-08,548.840027,82.279999,63.049999,381.200012,75.084068,141.226639,83.529999,32.046318,67.345238,88.119774
2015-04-09,548.02002,82.169998,62.785713,383.540009,71.005081,138.262756,82.75,32.248844,66.846954,88.413414
2015-04-10,548.539978,82.040001,64.938568,382.649994,70.976082,139.033905,82.870003,32.181339,68.217247,88.275764
2015-04-13,548.640015,83.010002,67.811432,382.359985,70.753769,138.457886,81.82,31.988455,68.236404,87.66095
2015-04-14,539.780029,83.519997,68.387146,385.109985,70.927757,138.922424,81.050003,31.949888,69.57795,88.541885
2015-04-15,541.039978,82.709999,67.922859,383.450012,70.579788,138.504288,81.209999,31.998106,71.31237,88.670349
2015-04-16,543.52002,82.309998,80.292854,386.040009,70.193153,136.683258,81.029999,31.998106,72.222702,88.505157
2015-04-17,532.73999,80.779999,81.650002,375.559998,69.07193,134.323288,79.139999,31.458052,71.532761,87.917892
2015-04-20,544.530029,83.089996,81.055717,389.51001,69.893524,135.939926,79.709999,31.940237,72.241859,88.551064
2015-04-21,542.919983,83.620003,80.062859,391.179993,70.067505,136.896942,80.779999,31.949888,72.193947,88.807983
2015-04-22,549.179993,84.629997,79.668571,389.799988,69.961182,136.562424,80.57,32.123478,71.101555,89.266808
2015-04-23,557.460022,82.410004,79.865715,389.98999,70.367149,136.859772,81.010002,32.451363,72.912628,87.844475
2015-04-24,573.659973,81.529999,79.771431,445.100006,70.106171,137.621643,81.139999,32.750317,71.436943,87.330605
2015-04-27,566.119995,81.910004,80.868568,438.559998,68.675629,136.543839,80.419998,32.605663,71.139877,86.706635
2015-04-28,564.369995,80.68,80.437141,429.309998,68.810944,136.218658,79.970001,32.586376,74.158348,86.64238
