date,AAPL,AMZN,FB,GOOGL,NFLX
2016-01-04,101.78376337717,636.99,102.22,759.44,109.96
2016-01-05,99.233130863492,633.79,102.73,761.53,107.66
2016-01-06,97.291172017853,632.65,102.97,759.33,117.68
2016-01-07,93.185040130307,607.94,97.92,741.0,114.56
2016-01-08,93.677775956812,607.05,97.33,730.91,111.39
2016-01-11,95.194629383506,617.74,97.51,733.07,114.97
2016-01-12,96.57622199508,617.89,99.37,745.34,116.58
2016-01-13,94.093219888964,581.81,95.44,719.57,106.56
2016-01-14,96.151116576134,593.0,98.37,731.39,107.06
2016-01-15,93.842021232314,570.18,94.97,710.49,104.04
2016-01-19,93.387931352986,574.48,95.26,719.08,107.89
2016-01-20,93.513530681311,571.77,94.35,718.56,107.74
2016-01-21,93.040117828394,575.02,94.16,726.67,102.35
2016-01-22,97.986799067037,596.38,97.94,745.46,100.72
2016-01-25,96.07382468178,596.53,97.01,733.62,99.12
2016-01-26,96.605206455463,601.25,97.34,733.79,97.83
2016-01-27,90.257609631657,583.35,94.45,717.58,91.15
2016-01-28,90.90492924687,635.35,109.11,748.3,94.41
2016-01-29,94.044912454993,587.0,112.21,761.35,91.84
2016-02-01,93.165717156719,574.81,115.09,770.77,94.09
2016-02-02,91.281727231844,552.1,114.61,780.91,91.49
2016-02-03,93.088425262365,531.07,112.69,749.38,90.74
2016-02-04,93.83235974552,536.26,110.49,730.03,89.71
2016-02-05,91.32627808772,502.13,104.07,703.76,82.79
2016-02-08,92.28791407269,488.1,99.75,704.16,83.32
2016-02-09,92.268487083095,482.07,99.54,701.02,86.13
2016-02-10,91.569115457662,490.48,101.0,706.85,88.45
2016-02-11,91.015446254195,503.82,101.91,706.36,86.35
2016-02-12,91.297137603327,507.08,102.01,706.89,87.4
2016-02-16,93.871213724711,521.1,101.61,717.64,89.05
2016-02-17,95.308810954766,534.1,105.2,731.97,94.76
2016-02-18,93.502100922399,525.0,103.47,717.51,90.49
